player_id,name,elo_overall,elo_hard,elo_clay,elo_grass,total_matches
206173,Jannik Sinner,2267.5,2238.2,1849.3,1694.8,353
104925,Novak Djokovic,2158.6,2134.8,2044.4,2010.7,1363
207989,Carlos Alcaraz,2087.4,1991.5,2000.3,1792.2,265
104417,Robin Soderling,2061.8,1982.4,1948.7,1673.1,482
103819,Roger Federer,2050.8,2071.7,1918.4,1946.4,1510
100644,Alexander Zverev,2042.6,1972.6,1936.8,1690.6,663
126203,Taylor Fritz,2012.6,1929.6,1773.4,1666.6,476
106401,Nick Kyrgios,1986.8,1919.6,1682.7,1718.4,328
106421,Daniil Medvedev,1972.3,1941.7,1747.0,1731.7,537
105223,Juan Martin del Potro,1966.6,2004.3,1839.0,1729.6,621
207733,Jack Draper,1952.1,1868.2,1568.4,1640.7,130
105777,Grigor Dimitrov,1941.6,1900.2,1763.0,1639.8,756
200282,Alex De Minaur,1934.4,1865.5,1740.6,1694.9,410
208029,Holger Rune,1924.5,1855.5,1773.0,1577.2,228
104745,Rafael Nadal,1921.5,1889.1,2019.9,1828.3,1326
200624,Sebastian Korda,1912.3,1833.3,1641.8,1615.1,206
126205,Tommy Paul,1898.1,1799.4,1662.2,1681.7,300
126774,Stefanos Tsitsipas,1892.0,1788.5,1945.9,1579.4,512
128034,Hubert Hurkacz,1889.0,1801.0,1750.7,1656.0,350
111575,Karen Khachanov,1886.7,1835.0,1784.1,1601.2,481
126610,Matteo Berrettini,1885.5,1746.6,1917.6,1765.8,289
200005,Ugo Humbert,1885.2,1877.3,1462.5,1593.8,271
104053,Andy Roddick,1875.0,1842.8,1617.2,1793.6,827
207830,Tomas Machac,1850.2,1779.8,1637.8,1470.2,90
210097,Ben Shelton,1843.7,1797.2,1556.5,1486.8,123
207518,Lorenzo Musetti,1842.3,1664.9,1805.5,1661.1,245
200615,Alexei Popyrin,1840.8,1785.9,1585.8,1459.3,206
101736,Andre Agassi,1839.9,1831.8,1696.4,1621.1,358
102158,Patrick Rafter,1839.7,1777.7,1479.5,1757.8,119
209950,Arthur Fils,1830.7,1739.7,1684.5,1527.7,109
111442,Jordan Thompson,1830.5,1779.0,1444.6,1618.1,301
104792,Gael Monfils,1829.0,1794.4,1569.7,1611.5,909
208103,Jiri Lehecka,1823.9,1725.7,1638.4,1518.3,144
105526,Jan Lennard Struff,1823.6,1621.6,1787.4,1575.9,467
126207,Frances Tiafoe,1819.9,1762.1,1605.3,1592.8,400
105683,Milos Raonic,1817.7,1800.5,1777.1,1714.6,584
207925,Flavio Cobolli,1816.6,1729.6,1613.3,1501.6,79
134770,Casper Ruud,1810.2,1714.3,1911.9,1486.7,397
133430,Denis Shapovalov,1809.0,1733.7,1656.2,1562.2,381
200000,Felix Auger Aliassime,1807.6,1694.1,1773.9,1587.8,364
105453,Kei Nishikori,1807.4,1778.6,1798.7,1649.6,671
134868,Tallon Griekspoor,1797.7,1728.0,1585.3,1577.4,190
101948,Pete Sampras,1796.7,1837.3,1488.1,1632.7,151
103900,David Nalbandian,1795.9,1793.2,1754.7,1648.3,579
126094,Andrey Rublev,1795.0,1764.2,1793.7,1631.3,521
202385,Jenson Brooksby,1794.0,1777.5,1481.9,1566.9,79
103888,Mardy Fish,1793.7,1741.1,1606.9,1722.2,526
104339,Mario Ancic,1792.9,1776.6,1695.8,1750.0,343
211663,Joao Fonseca,1785.2,1734.8,1548.6,1467.5,20
104607,Tomas Berdych,1784.5,1776.9,1781.1,1715.4,988
208659,Giovanni Mpetshi Perricard,1780.4,1665.2,1615.0,1545.0,34
202103,Francisco Cerundolo,1780.2,1679.4,1763.8,1502.9,190
105238,Alexandr Dolgopolov,1777.8,1733.1,1694.6,1566.5,423
105138,Roberto Bautista Agut,1777.6,1687.4,1630.8,1684.3,693
105676,David Goffin,1771.9,1717.5,1619.7,1601.6,603
111202,Hyeon Chung,1768.4,1708.2,1651.7,1462.0,153
106423,Thanasi Kokkinakis,1767.5,1711.1,1524.1,1511.6,173
210150,Jakub Mensik,1765.1,1735.5,1624.8,1450.5,49
206909,Brandon Nakashima,1761.9,1700.1,1556.9,1549.9,176
210506,Alex Michelsen,1760.2,1714.2,1486.0,1570.8,79
105807,Pablo Carreno Busta,1759.7,1734.8,1741.5,1454.1,499
209098,Hamad Medjedovic,1759.2,1718.4,1541.5,1484.4,39
103285,Radek Stepanek,1758.5,1683.3,1621.7,1634.7,683
208286,Matteo Arnaldi,1756.8,1699.1,1645.7,1458.5,92
106218,Marcos Giron,1750.1,1683.7,1512.5,1586.0,223
102765,Nicolas Escude,1747.2,1717.9,1498.5,1609.9,206
144684,Alex Molcan,1744.6,1617.6,1714.4,1491.7,95
103828,Jean Julien Rojer,1739.5,1760.0,1475.5,1500.0,14
111815,Cameron Norrie,1738.2,1703.5,1727.5,1595.0,365
103970,David Ferrer,1737.2,1724.7,1737.9,1593.3,1119
200325,Emil Ruusuvuori,1732.7,1723.5,1479.8,1520.0,214
207352,Bu Yunchaokete,1732.0,1701.3,1453.8,1500.0,18
105227,Marin Cilic,1729.8,1667.3,1730.1,1797.8,933
103507,Juan Carlos Ferrero,1726.8,1667.1,1722.1,1638.4,717
105668,Jerzy Janowicz,1726.3,1671.2,1519.1,1595.2,198
105656,Marcelo Arevalo,1724.8,1754.9,1451.5,1500.0,51
105870,Yannick Hanfmann,1724.7,1600.6,1650.9,1490.8,153
103898,Julien Benneteau,1724.0,1673.0,1508.4,1549.9,570
103498,Marat Safin,1723.0,1686.9,1609.3,1662.0,586
126128,Roman Safiullin,1722.8,1667.0,1568.9,1532.2,107
200221,Alejandro Davidovich Fokina,1722.4,1692.7,1639.4,1453.3,233
144869,Tomas Martin Etcheverry,1722.0,1617.8,1700.6,1437.0,137
104871,Jeremy Chardy,1721.7,1770.3,1592.4,1514.2,607
126214,Alejandro Tabilo,1717.5,1611.4,1635.1,1547.7,113
103344,Ivan Ljubicic,1716.0,1668.7,1715.0,1541.0,691
104338,Juan Monaco,1714.9,1652.4,1693.2,1505.7,617
144707,Mikael Ymer,1710.8,1659.7,1547.8,1511.9,152
106415,Yoshihito Nishioka,1709.8,1661.1,1581.4,1423.2,285
104597,Nicolas Almagro,1708.7,1628.3,1713.3,1536.9,679
126846,Aleksandar Vukic,1708.0,1606.7,1447.0,1539.6,94
124187,Reilly Opelka,1707.8,1683.0,1581.3,1490.4,188
127339,Borna Gojo,1707.8,1696.0,1488.4,1427.7,42
200175,Miomir Kecmanovic,1705.9,1624.6,1638.7,1524.5,293
103602,Fernando Gonzalez,1704.8,1683.5,1795.0,1624.3,572
126239,Arthur Rinderknech,1700.5,1660.3,1587.0,1455.0,157
208502,Dominic Stricker,1700.0,1659.4,1515.6,1526.4,49
136440,Dominik Koepfer,1699.4,1650.1,1613.6,1453.6,133
111581,Michael Mmoh,1698.0,1666.9,1482.2,1457.2,70
106148,Roberto Carballes Baena,1698.0,1575.2,1638.9,1433.2,265
103781,Jurgen Melzer,1697.7,1643.3,1589.0,1584.5,687
122298,Botic Van De Zandschulp,1696.5,1650.0,1601.3,1516.5,186
105916,Marton Fucsovics,1696.4,1604.4,1647.3,1575.3,326
103504,Febi Widhiyanto,1695.7,1695.4,1500.0,1500.0,15
103917,Nicolas Mahut,1695.3,1610.3,1510.3,1635.2,407
106426,Cristian Garin,1694.7,1585.3,1650.8,1530.3,251
103017,Nicolas Kiefer,1694.4,1718.6,1613.7,1572.5,438
132686,Nuno Borges,1692.5,1604.8,1640.3,1388.1,89
206681,Fabian Marozsan,1690.0,1682.3,1570.2,1448.0,72
104026,Joachim Johansson,1688.5,1686.0,1396.4,1520.0,133
105583,Dusan Lajovic,1686.6,1579.5,1663.9,1416.4,463
111190,Zhizhen Zhang,1686.3,1569.7,1646.6,1494.7,114
104468,Gilles Simon,1685.0,1653.9,1532.4,1547.2,904
105577,Vasek Pospisil,1682.2,1649.7,1348.4,1461.8,313
209992,Juncheng Shang,1679.4,1630.4,1442.6,1524.6,62
104731,Kevin Anderson,1679.2,1615.3,1687.9,1734.4,614
200059,Yibing Wu,1677.8,1689.2,1511.7,1475.1,48
209070,Arthur Cazaux,1674.7,1670.5,1410.7,1482.1,29
202104,Sebastian Baez,1674.2,1511.1,1766.0,1448.5,179
132283,Lorenzo Sonego,1674.0,1616.7,1596.2,1558.2,298
200436,Zsombor Piros,1673.8,1615.4,1563.6,1500.0,17
105575,Ricardas Berankis,1673.6,1660.0,1455.6,1435.2,288
106331,Christopher Oconnell,1673.5,1629.7,1466.0,1495.5,117
111797,Nicolas Jarry,1673.1,1593.2,1706.9,1508.9,228
103566,Michael Llodra,1673.1,1646.4,1529.3,1604.3,410
200267,Zizou Bergs,1673.0,1580.4,1513.9,1472.6,60
102882,Mark Philippoussis,1672.5,1487.4,1563.0,1687.7,241
126127,Benjamin Bonzi,1672.0,1656.1,1464.2,1519.6,106
207608,Timofey Skatov,1671.4,1468.1,1666.6,1500.0,17
104545,John Isner,1671.2,1616.5,1691.5,1679.9,809
104527,Stan Wawrinka,1669.6,1652.6,1640.8,1574.4,948
122330,Alexander Bublik,1669.2,1639.1,1553.3,1653.6,302
101990,Richard Krajicek,1667.7,1594.9,1593.5,1577.4,76
133297,Yosuke Watanuki,1665.6,1602.5,1534.3,1554.4,39
208014,Rinky Hijikata,1665.3,1638.8,1464.9,1517.2,64
209113,Gabriel Diallo,1664.7,1625.6,1491.3,1454.5,26
111460,Quentin Halys,1664.1,1530.9,1541.5,1530.4,97
111513,Laslo Djere,1663.7,1635.2,1623.6,1441.1,293
104918,Andy Murray,1663.0,1664.8,1844.8,1741.1,1017
104571,Marcos Baghdatis,1662.7,1658.7,1463.3,1569.3,624
105985,Darian King,1662.6,1665.8,1518.4,1500.0,52
104547,Horacio Zeballos,1662.0,1572.5,1619.3,1381.0,224
102450,Tim Henman,1661.9,1669.0,1617.6,1672.2,449
205734,Thiago Seyboth Wild,1661.7,1542.6,1581.2,1506.1,79
102863,Takao Suzuki,1661.2,1650.7,1494.0,1476.5,63
210530,Learner Tien,1657.9,1625.3,1500.0,1500.0,12
102562,Jiri Novak,1657.9,1673.1,1598.8,1520.9,395
106109,Alex Bolt,1657.9,1587.7,1500.0,1431.5,48
105357,John Millman,1657.9,1613.9,1533.4,1503.6,270
106175,Ricardo Rodriguez,1656.7,1685.2,1530.9,1500.0,32
103720,Lleyton Hewitt,1656.5,1659.4,1593.9,1688.5,799
207686,Alexander Shevchenko,1655.5,1603.6,1557.8,1466.7,86
103401,Jan Hernych,1655.1,1557.8,1469.2,1528.8,197
104620,Simone Bolelli,1654.4,1522.2,1653.2,1555.4,291
105723,Andrey Kuznetsov,1654.2,1589.1,1624.1,1445.4,180
111577,Jared Donaldson,1652.7,1621.6,1487.8,1456.0,113
125802,Ilya Ivashka,1651.3,1646.8,1527.5,1530.0,178
111456,Mackenzie Mcdonald,1650.5,1649.8,1411.1,1544.3,230
105732,Pierre Hugues Herbert,1648.8,1649.1,1543.6,1522.2,228
102701,Marcelo Rios,1647.1,1672.3,1588.1,1500.0,182
104076,Jose Acasuso,1646.6,1529.0,1678.1,1365.9,376
144895,Corentin Moutet,1645.2,1558.6,1572.2,1515.0,156
103813,Jarkko Nieminen,1645.1,1613.8,1596.3,1491.0,760
106432,Borna Coric,1645.1,1642.2,1643.9,1524.2,419
106058,Jack Sock,1644.6,1595.4,1616.8,1554.0,336
103758,Taylor Dent,1644.6,1625.9,1449.2,1529.9,287
104542,Jo-Wilfried Tsonga,1643.8,1685.7,1651.3,1701.0,714
106234,Aslan Karatsev,1643.6,1594.8,1565.9,1473.5,167
111794,Kamil Majchrzak,1643.3,1592.8,1467.9,1471.9,71
126952,Soon Woo Kwon,1642.8,1602.3,1533.3,1481.6,136
106329,Thiago Monteiro,1642.2,1518.4,1637.1,1447.3,222
104523,Frederico Gil,1642.1,1560.3,1622.2,1413.4,143
103824,Orest Tereshchuk,1641.7,1619.2,1552.4,1500.0,17
103786,Nikolay Davydenko,1641.4,1684.9,1554.9,1459.7,822
103484,James Blake,1641.0,1650.7,1556.3,1511.1,620
102563,Thomas Johansson,1640.8,1637.1,1524.2,1600.3,415
102148,Fabrice Santoro,1639.2,1591.1,1429.1,1639.9,444
106378,Kyle Edmund,1638.7,1655.3,1568.4,1472.5,247
200384,Hugo Gaston,1638.2,1509.1,1656.5,1508.8,96
131934,Andrea Vavassori,1638.1,1540.7,1598.4,1456.0,21
124116,Sebastian Ofner,1637.3,1601.2,1569.3,1520.6,93
104898,Robin Haase,1636.7,1625.8,1536.7,1515.5,505
104926,Fabio Fognini,1636.3,1520.0,1642.6,1579.4,819
102959,Marko Tkalec,1635.6,1510.4,1694.4,1532.0,30
105464,Christopher Rungkat,1633.7,1612.7,1564.0,1500.0,32
104259,Philipp Kohlschreiber,1633.7,1627.2,1624.3,1584.6,882
105790,Yong Kyu Lim,1633.3,1655.9,1423.4,1505.8,19
102338,Yevgeny Kafelnikov,1633.2,1619.4,1622.2,1597.4,322
105946,Liang Chi Huang,1633.0,1599.6,1539.4,1500.0,7
104976,Ryan Sweeting,1632.8,1532.0,1544.3,1471.5,92
124186,Alexandre Muller,1632.7,1542.9,1552.9,1521.9,66
102233,Leander Paes,1632.0,1560.8,1465.1,1665.1,40
103600,Mohammad Ghareeb,1631.7,1605.2,1610.0,1500.0,43
101962,Younes El Aynaoui,1631.6,1579.6,1631.4,1530.6,299
105936,Filip Krajinovic,1631.1,1614.6,1575.2,1532.1,257
103598,Xavier Malisse,1630.6,1555.8,1495.4,1689.4,531
106298,Lucas Pouille,1630.3,1643.5,1522.2,1586.0,277
133835,Gijs Brouwer,1630.2,1558.4,1518.6,1511.1,27
